Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,207146,7845,0,199301,62,3.79,0.0,0.0,38928341,5321.0,206743,403,0.19
Albania,333686,3594,0,330092,33,1.08,0.0,0.0,2877800,115952.0,333567,119,0.04
Algeria,271182,6881,0,264301,3,2.54,0.0,0.0,43851043,6184.0,271149,33,0.01
Andorra,47686,165,0,47521,80,0.35,0.0,0.0,77265,617175.0,47446,240,0.51
Angola,104946,1928,0,103018,0,1.84,0.0,0.0,32866268,3193.0,104808,138,0.13
Antarctica,11,0,0,11,0,0.0,0.0,0.0,0,151961.08673469388,11,0,0.0
Antigua and Barbuda,9106,146,0,8960,0,1.6,0.0,0.0,97928,92987.0,9106,0,0.0
Argentina,9829236,130080,0,9699156,0,1.32,0.0,0.0,45195777,217481.0,9766975,62261,0.64
Armenia,445881,8712,0,437169,0,1.95,0.0,0.0,2963234,150471.0,445881,0,0.0
Australia,10983380,16734,0,10966646,4176,0.15,0.0,0.0,50919400,215701.0,10870758,112622,1.04
Austria,5656559,21332,0,5635227,5037,0.38,0.0,0.0,9006400,628060.0,5622037,34522,0.61
Azerbaijan,825527,9997,0,815530,107,1.21,0.0,0.0,10139175,81420.0,824943,584,0.07
Bahamas,37491,833,0,36658,0,2.22,0.0,0.0,393248,95337.0,37491,0,0.0
Bahrain,697938,1539,0,696399,94,0.22,0.0,0.0,1701583,410170.0,697520,418,0.06
Bangladesh,2036967,29438,0,2007529,19,1.45,0.0,0.0,164689383,12369.0,2036845,122,0.01
Barbados,104944,568,0,104376,0,0.54,0.0,0.0,287371,365186.0,104944,0,0.0
Belarus,994037,7118,0,986919,0,0.72,0.0,0.0,9449321,105197.0,994037,0,0.0
Belgium,4664481,33211,0,4631270,6183,0.71,0.0,0.0,22985282,202933.0,4654473,10008,0.22
Belize,69675,688,0,68987,0,0.99,0.0,0.0,397621,175230.0,69376,299,0.43
Benin,27982,163,0,27819,0,0.58,0.0,0.0,12123198,2308.0,27980,2,0.01
Bhutan,62524,21,0,62503,3,0.03,0.0,0.0,771612,81030.0,62521,3,0.0
Bolivia,1135046,22271,0,1112775,0,1.96,0.0,0.0,11673029,97237.0,1122783,12263,1.09
Bosnia and Herzegovina,400821,16219,0,384602,12,4.05,0.0,0.0,3280815,122171.0,400722,99,0.02
Botswana,327511,2794,0,324717,0,0.85,0.0,0.0,2351625,139270.0,327061,450,0.14
Brazil,36001760,692280,0,35309480,56697,1.92,0.0,0.0,422706534,85170.0,35696918,304842,0.85
Brunei,266819,225,0,266594,2329,0.08,0.0,0.0,437483,609896.0,264490,2329,0.88
Bulgaria,1290470,38082,0,1252388,0,2.95,0.0,0.0,6948445,185721.0,1289474,996,0.08
Burkina Faso,22006,395,0,21611,375,1.79,0.0,0.0,20903278,1053.0,21631,375,1.73
Burma,633575,19488,0,614087,7,3.08,0.0,0.0,54409800,11645.0,633475,100,0.02
Burundi,51481,38,0,51443,0,0.07,0.0,0.0,11890781,4329.0,51276,205,0.4
Cabo Verde,63178,412,0,62766,5,0.65,0.0,0.0,555988,113632.0,63144,34,0.05
Cambodia,138438,3056,0,135382,19,2.21,0.0,0.0,16718971,8280.0,138302,136,0.1
Cameroon,123993,1965,0,122028,0,1.58,0.0,0.0,26545864,4671.0,123993,0,0.0
Canada,4482256,48859,0,4433397,1941,1.09,0.0,0.0,76492216,58598.0,4469719,12537,0.28
Central African Republic,15311,113,0,15198,0,0.74,0.0,0.0,4829764,3170.0,15311,0,0.0
